year,datanum,serial,hhwt,gq,us2000c_serialno,pernum,perwt,us2000c_pnum,us2000c_sex,us2000c_age,us2000c_hispan,us2000c_race1,us2000c_marstat,us2000c_educ,us2000c_inctot
2000,4,37,100,Households under 1970 definition,365663,1,100,1,2,20,1,1,5,11,10000
2000,4,37,100,Households under 1970 definition,365663,2,100,2,2,19,1,1,5,11,5300
2000,4,37,100,Households under 1970 definition,365663,3,100,3,2,19,1,2,5,11,4700
2000,4,241,100,Households under 1970 definition,2894822,1,100,1,2,50,1,1,5,14,32500
2000,4,242,100,Households under 1970 definition,2896802,1,100,1,2,29,1,1,5,13,30000
2000,4,296,100,Other group quarters,3608029,1,100,1,2,20,1,6,5,9,3000
2000,4,377,100,Households under 1970 definition,4720742,1,100,1,2,69,1,1,5,1,51900
2000,4,418,100,Households under 1970 definition,5176658,1,100,1,2,59,1,1,2,8,12200
2000,4,465,100,Households under 1970 definition,5856346,1,100,1,1,55,1,2,4,12,0
2000,4,465,100,Households under 1970 definition,5856346,2,100,2,2,47,1,2,5,1,2600
2000,4,484,100,Households under 1970 definition,6070342,1,100,1,1,33,1,6,1,9,16800
2000,4,484,100,Households under 1970 definition,6070342,2,100,2,2,26,1,6,1,7,18000
2000,4,484,100,Households under 1970 definition,6070342,3,100,3,1,4,1,6,5,1,BBBBBBB
2000,4,484,100,Households under 1970 definition,6070342,4,100,4,2,2,1,6,5,0,BBBBBBB
2000,4,607,100,Households under 1970 definition,7480627,1,100,1,1,39,1,6,1,4,16100
2000,4,607,100,Households under 1970 definition,7480627,2,100,2,2,36,1,6,1,8,17200
2000,4,607,100,Households under 1970 definition,7480627,3,100,3,2,17,1,6,5,6,0
2000,4,607,100,Households under 1970 definition,7480627,4,100,4,1,15,1,6,5,4,0
2000,4,607,100,Households under 1970 definition,7480627,5,100,5,2,13,1,6,5,4,BBBBBBB
2000,4,728,100,Households under 1970 definition,8819567,1,100,1,1,23,1,2,5,13,7600
2000,4,728,100,Households under 1970 definition,8819567,2,100,2,2,23,1,6,5,11,12000
2000,4,874,100,Households under 1970 definition,698217,1,100,1,2,38,1,1,3,8,19800
2000,4,874,100,Households under 1970 definition,698217,2,100,2,1,14,1,1,5,5,BBBBBBB
2000,4,894,100,Households under 1970 definition,1015450,1,100,1,1,72,1,1,1,9,22500
2000,4,894,100,Households under 1970 definition,1015450,2,100,2,2,69,1,1,1,14,11300
2000,4,930,100,Households under 1970 definition,1349140,1,100,1,2,47,1,1,3,9,23010
2000,4,930,100,Households under 1970 definition,1349140,2,100,2,2,36,1,1,5,9,6800
2000,4,930,100,Households under 1970 definition,1349140,3,100,3,2,46,1,1,1,9,6400
2000,4,930,100,Households under 1970 definition,1349140,4,100,4,2,48,1,1,5,7,13000
2000,4,963,100,Households under 1970 definition,1886282,1,100,1,1,72,1,1,2,8,26000
2000,4,1014,100,Households under 1970 definition,2600197,1,100,1,1,52,1,1,1,14,97000
2000,4,1014,100,Households under 1970 definition,2600197,2,100,2,2,54,1,1,1,14,23750
2000,4,1016,100,Households under 1970 definition,2634352,1,100,1,2,54,1,1,2,10,25000
2000,4,1024,100,Households under 1970 definition,2697295,1,100,1,2,45,1,1,5,13,52600
2000,4,1416,100,Group quarters--Institutions,8416906,1,100,1,2,42,1,1,3,11,3100
2000,4,1485,100,Households under 1970 definition,9485808,1,100,1,1,66,1,1,1,11,12600
2000,4,1485,100,Households under 1970 definition,9485808,2,100,2,2,62,1,1,1,9,28500
2000,4,1509,100,Households under 1970 definition,9739205,1,100,1,1,67,1,1,2,14,8000
2000,4,1839,100,Households under 1970 definition,6115781,1,100,1,2,46,1,1,3,10,50000
2000,4,1839,100,Households under 1970 definition,6115781,2,100,2,1,20,1,1,5,11,5900
2000,4,1839,100,Households under 1970 definition,6115781,3,100,3,1,15,1,1,5,5,0
